Species,variable,contrast,df,t.ratio,p.value
Stylophora,Pmax,DEPTH15 - DEPTH35,74.24340783,4.144576459,0.000829227
Stylophora,Pmax,DEPTH15 - DEPTH45,74.2280194,5.535336481,4.38E-06
Stylophora,Pmax,DEPTH25 - DEPTH35,74.940583,2.309605001,0.153288158
Stylophora,Pmax,DEPTH25 - DEPTH45,74.07166501,3.687531678,0.0038196
Stylophora,Pmax,DEPTH35 - DEPTH45,74.70876295,1.188221243,0.758063246
Stylophora,Sigma,DEPTH5 - DEPTH15,74.88773945,2.642556693,0.072868252
Stylophora,Sigma,DEPTH5 - DEPTH25,74.35728017,3.373933592,0.010078283
Stylophora,Sigma,DEPTH5 - DEPTH35,75.408335,3.781788939,0.002788098
Stylophora,Sigma,DEPTH5 - DEPTH45,74.52018078,1.733202381,0.420292838
Stylophora,Sigma,DEPTH15 - DEPTH25,74.15763523,0.555281044,0.980951581
Stylophora,Sigma,DEPTH15 - DEPTH35,74.12526033,1.102709027,0.80457877
Stylophora,Sigma,DEPTH15 - DEPTH45,74.11939303,-0.989384482,0.859294474
Stylophora,Sigma,DEPTH25 - DEPTH35,74.5112309,0.579917176,0.977641913
Stylophora,Sigma,DEPTH25 - DEPTH45,74.03674386,-1.610759517,0.495399584
Stylophora,Sigma,DEPTH35 - DEPTH45,74.37853894,-2.136042416,0.216037658
