"PIC","SITE","DEPTH","LABEL_corrected","Count"
"MKN9161","IUI_N","25","Acropora",6
"MKN9162","IUI_N","25","Acropora",4
"MKN9163","IUI_N","25","Acropora",8
"MKN9164","IUI_N","25","Acropora",5
"MKN9165","IUI_N","25","Acropora",3
"MKN9166","IUI_N","25","Acropora",5
"MKN9167","IUI_N","25","Acropora",3
"MKN9168","IUI_N","25","Acropora",2
"MKN9169","IUI_N","25","Acropora",2
"MKN9170","IUI_N","25","Acropora",3
"MKN9171","IUI_N","25","Acropora",4
"MKN9172","IUI_N","25","Acropora",8
"MKN9173","IUI_N","25","Acropora",6
"MKN9174","IUI_N","25","Acropora",2
"MKN9175","IUI_N","25","Acropora",2
"MKN9176","IUI_N","25","Acropora",9
"MKN9177","IUI_N","25","Acropora",1
"MKN9178","IUI_N","25","Acropora",4
"MKN9179","IUI_N","25","Acropora",8
"MKN9180","IUI_N","25","Acropora",17
"MKN9181","IUI_N","25","Acropora",6
"MKN9182","IUI_N","25","Acropora",6
"MKN9183","IUI_N","25","Acropora",4
"MKN9184","IUI_N","25","Acropora",7
"MKN9185","IUI_N","25","Acropora",3
"MKN9186","IUI_N","25","Acropora",6
"MKN9187","IUI_N","25","Acropora",5
"MKN9188","IUI_N","25","Acropora",4
"MKN9189","IUI_N","25","Acropora",1
"MKN9190","IUI_N","25","Acropora",7
"MKN9004","IUI_S","25","Acropora",2
"MKN9006","IUI_S","25","Acropora",1
"MKN9009","IUI_S","25","Acropora",1
"MKN9010","IUI_S","25","Acropora",1
"MKN9012","IUI_S","25","Acropora",2
"MKN9013","IUI_S","25","Acropora",4
"MKN9015","IUI_S","25","Acropora",2
"MKN9016","IUI_S","25","Acropora",5
"MKN9021","IUI_S","25","Acropora",1
"MKN9023","IUI_S","25","Acropora",5
"MKN9024","IUI_S","25","Acropora",10
"MKN9025","IUI_S","25","Acropora",11
"MKN9026","IUI_S","25","Acropora",1
"MKN9312","JG","25","Acropora",5
"MKN9313","JG","25","Acropora",6
"MKN9314","JG","25","Acropora",7
"MKN9315","JG","25","Acropora",4
"MKN9316","JG","25","Acropora",2
"MKN9317","JG","25","Acropora",7
"MKN9318","JG","25","Acropora",10
"MKN9319","JG","25","Acropora",10
"MKN9320","JG","25","Acropora",6
"MKN9321","JG","25","Acropora",9
"MKN9322","JG","25","Acropora",5
"MKN9324","JG","25","Acropora",4
"MKN9325","JG","25","Acropora",13
"MKN9326","JG","25","Acropora",7
"MKN9327","JG","25","Acropora",8
"MKN9328","JG","25","Acropora",7
"MKN9329","JG","25","Acropora",19
"MKN9330","JG","25","Acropora",14
"MKN9331","JG","25","Acropora",7
"MKN9332","JG","25","Acropora",10
"MKN9333","JG","25","Acropora",5
"MKN9334","JG","25","Acropora",3
"MKN9335","JG","25","Acropora",3
"MKN9336","JG","25","Acropora",6
"MKN9337","JG","25","Acropora",3
"MKN9338","JG","25","Acropora",7
"MKN9339","JG","25","Acropora",7
"MKN9340","JG","25","Acropora",2
"MKN9341","JG","25","Acropora",14
"MKN9132","IUI_N","35","Acropora",3
"MKN9133","IUI_N","35","Acropora",8
"MKN9134","IUI_N","35","Acropora",8
"MKN9135","IUI_N","35","Acropora",1
"MKN9136","IUI_N","35","Acropora",2
"MKN9137","IUI_N","35","Acropora",1
"MKN9138","IUI_N","35","Acropora",3
"MKN9140","IUI_N","35","Acropora",2
"MKN9141","IUI_N","35","Acropora",4
"MKN9142","IUI_N","35","Acropora",5
"MKN9143","IUI_N","35","Acropora",3
"MKN9144","IUI_N","35","Acropora",2
"MKN9145","IUI_N","35","Acropora",5
"MKN9147","IUI_N","35","Acropora",3
"MKN9148","IUI_N","35","Acropora",1
"MKN9149","IUI_N","35","Acropora",5
"MKN9150","IUI_N","35","Acropora",1
"MKN9151","IUI_N","35","Acropora",1
"MKN9152","IUI_N","35","Acropora",1
"MKN9153","IUI_N","35","Acropora",1
"MKN9154","IUI_N","35","Acropora",10
"MKN9155","IUI_N","35","Acropora",7
"MKN9156","IUI_N","35","Acropora",5
"MKN9157","IUI_N","35","Acropora",3
"MKN9158","IUI_N","35","Acropora",2
"MKN8968","IUI_S","35","Acropora",2
"MKN8984","IUI_S","35","Acropora",1
"MKN8988","IUI_S","35","Acropora",1
"MKN9282","JG","35","Acropora",5
"MKN9283","JG","35","Acropora",2
"MKN9284","JG","35","Acropora",3
"MKN9285","JG","35","Acropora",3
"MKN9286","JG","35","Acropora",3
"MKN9287","JG","35","Acropora",6
"MKN9290","JG","35","Acropora",2
"MKN9291","JG","35","Acropora",3
"MKN9292","JG","35","Acropora",1
"MKN9293","JG","35","Acropora",2
"MKN9294","JG","35","Acropora",1
"MKN9296","JG","35","Acropora",1
"MKN9297","JG","35","Acropora",1
"MKN9298","JG","35","Acropora",1
"MKN9299","JG","35","Acropora",3
"MKN9300","JG","35","Acropora",7
"MKN9301","JG","35","Acropora",4
"MKN9302","JG","35","Acropora",5
"MKN9303","JG","35","Acropora",2
"MKN9304","JG","35","Acropora",3
"MKN9305","JG","35","Acropora",2
"MKN9306","JG","35","Acropora",1
"MKN9308","JG","35","Acropora",6
"MKN9309","JG","35","Acropora",4
"MKN9310","JG","35","Acropora",1
"MKN9311","JG","35","Acropora",4
"MKN9123","IUI_N","45","Acropora",1
"MKN9131","IUI_N","45","Acropora",1
"MKN8948","IUI_S","45","Acropora",4
"MKN8950","IUI_S","45","Acropora",1
"MKN9252","JG","45","Acropora",1
"MKN9253","JG","45","Acropora",2
"MKN9256","JG","45","Acropora",1
"MKN9014","IUI_S","25","Alveopora",2
"MKN8967","IUI_S","35","Alveopora",2
"MKN8979","IUI_S","35","Alveopora",1
"MKN8989","IUI_S","35","Alveopora",2
"MKN8990","IUI_S","35","Alveopora",1
"MKN9099","IUI_N","45","Alveopora",2
"MKN9100","IUI_N","45","Alveopora",3
"MKN9101","IUI_N","45","Alveopora",4
"MKN9102","IUI_N","45","Alveopora",4
"MKN9103","IUI_N","45","Alveopora",26
"MKN9104","IUI_N","45","Alveopora",5
"MKN9105","IUI_N","45","Alveopora",14
"MKN9106","IUI_N","45","Alveopora",4
"MKN9107","IUI_N","45","Alveopora",3
"MKN9109","IUI_N","45","Alveopora",2
"MKN9110","IUI_N","45","Alveopora",5
"MKN9111","IUI_N","45","Alveopora",6
"MKN9112","IUI_N","45","Alveopora",2
"MKN9113","IUI_N","45","Alveopora",4
"MKN9114","IUI_N","45","Alveopora",4
"MKN9115","IUI_N","45","Alveopora",3
"MKN9116","IUI_N","45","Alveopora",2
"MKN9117","IUI_N","45","Alveopora",3
"MKN9118","IUI_N","45","Alveopora",4
"MKN9119","IUI_N","45","Alveopora",2
"MKN9122","IUI_N","45","Alveopora",1
"MKN9123","IUI_N","45","Alveopora",1
"MKN9125","IUI_N","45","Alveopora",1
"MKN9127","IUI_N","45","Alveopora",1
"MKN8931","IUI_S","45","Alveopora",21
"MKN8936","IUI_S","45","Alveopora",12
"MKN8937","IUI_S","45","Alveopora",9
"MKN8938","IUI_S","45","Alveopora",16
"MKN8939","IUI_S","45","Alveopora",9
"MKN8940","IUI_S","45","Alveopora",26
"MKN8941","IUI_S","45","Alveopora",22
"MKN8942","IUI_S","45","Alveopora",25
"MKN8943","IUI_S","45","Alveopora",16
"MKN8944","IUI_S","45","Alveopora",8
"MKN8945","IUI_S","45","Alveopora",22
"MKN8946","IUI_S","45","Alveopora",16
"MKN8947","IUI_S","45","Alveopora",14
"MKN8948","IUI_S","45","Alveopora",18
"MKN8949","IUI_S","45","Alveopora",29
"MKN8950","IUI_S","45","Alveopora",18
"MKN8951","IUI_S","45","Alveopora",23
"MKN8952","IUI_S","45","Alveopora",24
"MKN8953","IUI_S","45","Alveopora",40
"MKN8954","IUI_S","45","Alveopora",40
"MKN8955","IUI_S","45","Alveopora",50
"MKN8956","IUI_S","45","Alveopora",48
"MKN8957","IUI_S","45","Alveopora",45
"MKN8958","IUI_S","45","Alveopora",59
"MKN8959","IUI_S","45","Alveopora",50
"MKN8960","IUI_S","45","Alveopora",38
"MKN8961","IUI_S","45","Alveopora",38
"MKN8962","IUI_S","45","Alveopora",36
"MKN8963","IUI_S","45","Alveopora",53
"MKN8964","IUI_S","45","Alveopora",49
"MKN8965","IUI_S","45","Alveopora",13
"MKN8966","IUI_S","45","Alveopora",21
"MKN9253","JG","45","Alveopora",9
"MKN9254","JG","45","Alveopora",8
"MKN9255","JG","45","Alveopora",3
"MKN9256","JG","45","Alveopora",8
"MKN9257","JG","45","Alveopora",10
"MKN9258","JG","45","Alveopora",2
"MKN9259","JG","45","Alveopora",8
"MKN9260","JG","45","Alveopora",7
"MKN9261","JG","45","Alveopora",4
"MKN9262","JG","45","Alveopora",1
"MKN9263","JG","45","Alveopora",4
"MKN9264","JG","45","Alveopora",4
"MKN9265","JG","45","Alveopora",14
"MKN9266","JG","45","Alveopora",2
"MKN9267","JG","45","Alveopora",4
"MKN9268","JG","45","Alveopora",2
"MKN9269","JG","45","Alveopora",4
"MKN9270","JG","45","Alveopora",5
"MKN9271","JG","45","Alveopora",1
"MKN9272","JG","45","Alveopora",2
"MKN9273","JG","45","Alveopora",4
"MKN9274","JG","45","Alveopora",2
"MKN9275","JG","45","Alveopora",1
"MKN9276","JG","45","Alveopora",1
"MKN9277","JG","45","Alveopora",2
"MKN9278","JG","45","Alveopora",1
"MKN9279","JG","45","Alveopora",6
"MKN9280","JG","45","Alveopora",1
"MKN9281","JG","45","Alveopora",1
"MKN9073","IUI_S","5","Astrea",1
"MKN9169","IUI_N","25","Astrea",9
"MKN9007","IUI_S","25","Astrea",1
"MKN9334","JG","25","Astrea",13
"MKN9282","JG","35","Astrea",4
"MKN9229","IUI_N","5","Astreopora",8
"MKN9233","IUI_N","5","Astreopora",1
"MKN9078","IUI_S","5","Astreopora",1
"MKN9395","JG","5","Astreopora",1
"MKN9194","IUI_N","15","Astreopora",1
"MKN9206","IUI_N","15","Astreopora",3
"MKN9207","IUI_N","15","Astreopora",2
"MKN9209","IUI_N","15","Astreopora",5
"MKN9212","IUI_N","15","Astreopora",1
"MKN9215","IUI_N","15","Astreopora",2
"MKN9216","IUI_N","15","Astreopora",1
"MKN9218","IUI_N","15","Astreopora",1
"MKN9033","IUI_S","15","Astreopora",3
"MKN9034","IUI_S","15","Astreopora",3
"MKN9037","IUI_S","15","Astreopora",1
"MKN9045","IUI_S","15","Astreopora",15
"MKN9344","JG","15","Astreopora",1
"MKN9350","JG","15","Astreopora",1
"MKN9355","JG","15","Astreopora",1
"MKN9357","JG","15","Astreopora",2
"MKN9358","JG","15","Astreopora",1
"MKN9364","JG","15","Astreopora",1
"MKN9365","JG","15","Astreopora",1
"MKN9159","IUI_N","25","Astreopora",1
"MKN9164","IUI_N","25","Astreopora",2
"MKN9165","IUI_N","25","Astreopora",1
"MKN9168","IUI_N","25","Astreopora",2
"MKN9170","IUI_N","25","Astreopora",1
"MKN9184","IUI_N","25","Astreopora",1
"MKN9185","IUI_N","25","Astreopora",3
"MKN9004","IUI_S","25","Astreopora",1
"MKN9005","IUI_S","25","Astreopora",3
"MKN9006","IUI_S","25","Astreopora",1
"MKN9007","IUI_S","25","Astreopora",10
"MKN9010","IUI_S","25","Astreopora",1
"MKN9011","IUI_S","25","Astreopora",3
"MKN9018","IUI_S","25","Astreopora",1
"MKN9025","IUI_S","25","Astreopora",1
"MKN9028","IUI_S","25","Astreopora",1
"MKN9340","JG","25","Astreopora",1
"MKN9153","IUI_N","35","Astreopora",3
