"","...1","Species","Colony","depth","Site","File","Time","DATE","TIME","PAR","Depth(m)","T(C)","Battery_V","Dark_Fo","Fm","Fv","fv_fm","Sigma","p","Alp1","Tau1","Alp2","Tau2","Alp3","Tau3","Alp4","Tau4","TauAv1","TauAv2","GAIN","Light_Fo","Fm.1","Fv.1","Fv_Fm.1","Sigma.1","p.1","Alp1.1","Tau1.1","Alp2.1","Tau2.1","Alp3.1","Tau3.1","Alp4.1","Tau4.1","TauAv1.1","TauAv2.1","Pmax.e.s"
"1",1,"Porites",1,45,"IUI south",20220712,"N","7/12/2022",32907,431.2,23.5,24.4,15.92,950.4,1767.1,816.6,0.462,439.4,0.07,0.71,921,0.18,5425,0.11,83216,"--------","-------",1836,10704,0,1686.2,1925.8,239.6,0.124,228.2,0,0.32,1460,0.675,13246,0.005,50000,"--------","-------",9457,9678,105.7
"2",2,"Porites",1,45,"IUI south",20220712,"N","7/12/2022",32916,384.5,23.5,24.4,15.92,788.8,1525.3,736.4,0.483,394.3,0.07,0.67,793,0.23,4742,0.1,109973,"--------","-------",1815,12369,0,1641.8,1874.2,232.4,0.124,216.6,0,0.285,1176,0.71,14347,0.006,50000,"--------","-------",10575,10799,94.6
"3",3,"Porites",1,45,"IUI south",20220712,"N","7/12/2022",32925,356.1,23.5,24.4,15.91,1004.4,1875.8,871.5,0.465,414.2,0.02,0.75,923,0.15,5707,0.1,112586,"--------","-------",1736,12721,0,2025.4,2180.1,154.7,0.071,424.2,0,0.235,1416,0.762,11685,0.003,50000,"--------","-------",9263,9401,108
"4",4,"Porites",1,45,"IUI south",20220712,"N","7/12/2022",32933,422.3,23.5,24.4,15.91,1177.9,2056.7,878.9,0.427,513.1,0.06,0.71,955,0.16,4492,0.12,97590,"--------","-------",1618,13535,0,2086.3,2216,129.8,0.059,474.4,0.22,0.757,40,0.243,7945,0,50000,"--------","-------",1961,1966,510
"5",5,"Porites",1,45,"IUI south",20220712.01,"N","7/12/2022",32942,497.5,23.5,24.4,15.91,891.2,1641.9,750.7,0.457,361.3,0.07,0.68,859,0.22,4091,0.1,150577,"--------","-------",1647,16118,0,1784.9,2011.1,226.2,0.112,239.5,0,0.293,1257,0.703,11675,0.005,50000,"--------","-------",8613,8807,116.1
"6",6,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",32961,348.3,23.5,24.4,15.9,1109.9,1968.3,858.4,0.436,495.6,0.07,0.7,967,0.18,5803,0.12,98168,"--------","-------",1950,13307,0,2046.5,2180.9,134.4,0.062,456.1,0.01,0.197,1533,0.801,12364,0.003,50000,"--------","-------",10228,10339,97.8
"7",7,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",32972,400.5,23.5,24.4,15.9,992,1769.5,777.5,0.439,406.6,0.03,0.68,927,0.22,6266,0.1,129736,"--------","-------",2217,14623,0,1879.4,2089.1,209.7,0.1,264.9,0.02,0.227,1268,0.739,12577,0.034,50000,"--------","-------",9921,11282,100.8
"8",8,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",32980,280.4,23.5,24.4,15.9,1169.9,2077.5,907.5,0.437,621.2,0.11,0.74,1000,0.17,8975,0.1,147371,"--------","-------",2464,16245,0,2116.8,2197.5,80.7,0.037,2804.7,0.7,0.6,288,0.4,13457,0,65231,"--------","-------",5560,5573,179.8
"9",9,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",32990,387,23.6,24.4,15.9,959.8,1769.5,809.6,0.458,496.9,0.12,0.65,765,0.23,3889,0.12,86962,"--------","-------",1581,11893,0,2011.8,2167.6,155.9,0.072,375.1,0,0.174,1384,0.823,12948,0.003,50000,"--------","-------",10928,11033,91.5
"10",10,"Porites",2,45,"IUI south",20220712.01,"N","7/12/2022",33003,348,23.5,24.4,15.9,1252.1,2094.6,842.5,0.402,467.4,0.04,0.64,1186,0.2,5941,0.16,78419,"--------","-------",2332,14545,0,1916.2,2137.9,221.7,0.104,286.8,0,0.313,1499,0.682,13343,0.005,50000,"--------","-------",9618,9831,104
"11",11,"Porites",3,45,"IUI south",20220712.01,"N","7/12/2022",33023,422.9,23.6,24.3,15.89,1001.9,1830.8,828.9,0.453,445.2,0.01,0.65,889,0.21,3504,0.14,65587,"--------","-------",1519,10715,0,1712.3,1958.3,246,0.126,234.2,0,0.316,1300,0.679,13272,0.005,50000,"--------","-------",9472,9681,105.6
"12",12,"Porites",3,45,"IUI south",20220712.01,"N","7/12/2022",33032,283.7,23.6,24.3,15.89,1139.7,2043.6,903.9,0.442,475,0,0.71,1038,0.18,5854,0.11,109128,"--------","-------",1991,14134,0,1921.1,2171.2,250.1,0.115,348.6,0,0.335,1364,0.66,13341,0.005,50000,"--------","-------",9308,9518,107.4
"13",13,"Porites",3,45,"IUI south",20220712.01,"N","7/12/2022",33047,260.3,23.6,24.4,15.89,983.3,1835.6,852.3,0.464,445.5,0.03,0.67,911,0.19,3814,0.15,66052,"--------","-------",1542,11026,0,1838.4,2060,221.6,0.108,231.5,0,0.254,1441,0.737,17576,0.008,50000,"--------","-------",13435,13744,74.4
"14",14,"Porites",3,45,"IUI south",20220712.01,"N","7/12/2022",33061,289,23.6,24.3,15.88,1206.5,2118.7,912.1,0.431,533.1,0.05,0.64,935,0.2,3390,0.16,58388,"--------","-------",1510,10613,0,2097.7,2207.6,109.8,0.05,585.6,0.27,0.736,50,0.262,9799,0.001,50000,"--------","-------",2612,2663,382.9
"15",15,"Porites",3,45,"IUI south",20220712.02,"N","7/12/2022",33072,549.8,23.6,24.3,15.88,914.6,1768.1,853.5,0.483,456.6,0.05,0.61,826,0.26,3892,0.13,81670,"--------","-------",1727,12147,0,1990.4,2139.4,149,0.07,304.4,0.01,0.192,1471,0.806,10703,0.002,50000,"--------","-------",8930,9030,112
"16",16,"Porites",4,45,"IUI south",20220712.02,"N","7/12/2022",33092,384.9,23.4,24.3,15.88,1188.5,2021.1,832.6,0.412,607.5,0.15,0.75,968,0.15,6969,0.1,141299,"--------","-------",1994,15800,0,2086.8,2205,118.1,0.054,614.2,0.41,0.707,52,0.292,6943,0,50000,"--------","-------",2066,2087,484
"17",17,"Porites",4,45,"IUI south",20220712.02,"N","7/12/2022",33100,301.8,23.4,24.3,15.87,1294,2138.9,844.8,0.395,630.6,0.15,0.71,1013,0.15,4454,0.15,81121,"--------","-------",1609,13174,0,1993.2,2187.4,194.2,0.089,657.2,0.01,0.449,1661,0.546,10982,0.005,50000,"--------","-------",6776,6985,147.6
"18",18,"Porites",4,45,"IUI south",20220712.02,"N","7/12/2022",33113,287,23.3,24.3,15.87,1208.4,2037.5,829.2,0.407,626.5,0.18,0.77,1031,0.12,6916,0.12,110689,"--------","-------",1799,14685,0,1957.1,2181.3,224.2,0.103,515.2,0.01,0.437,1454,0.557,11472,0.005,50000,"--------","-------",7066,7293,141.5
"19",19,"Porites",4,45,"IUI south",20220712.02,"N","7/12/2022",33126,349,23.3,24.3,15.87,1194.5,2061,866.5,0.42,634.1,0.2,0.71,934,0.16,4855,0.13,94347,"--------","-------",1673,13439,0,2078.6,2212.6,134,0.061,497.5,0.31,0.749,45,0.249,8640,0.002,50000,"--------","-------",2190,2267,456.6
"20",20,"Porites",4,45,"IUI south",20220712.02,"N","7/12/2022",33136,402.1,23.3,24.4,15.86,1215.8,2075.1,859.3,0.414,592.2,0.14,0.67,898,0.16,3906,0.17,65131,"--------","-------",1476,11986,0,2031.3,2180.8,149.5,0.069,450.5,0,0.255,1561,0.742,10499,0.003,50000,"--------","-------",8211,8343,121.8
"21",21,"Porites",5,45,"IUI south",20220712.02,"N","7/12/2022",33172,454.9,23.4,24.3,15.86,934.6,1809.1,874.4,0.483,422.5,0.04,0.66,941,0.2,4874,0.14,67815,"--------","-------",1839,11160,0,1788.6,2023.2,234.6,0.116,223.3,0,0.285,1379,0.71,12819,0.005,50000,"--------","-------",9543,9752,104.8
"22",22,"Porites",5,45,"IUI south",20220712.02,"N","7/12/2022",33181,408.9,23.4,24.3,15.85,1023,1928.4,905.4,0.47,476.8,0.03,0.71,931,0.17,5983,0.11,103134,"--------","-------",1912,13336,0,1954.9,2144.6,189.7,0.088,291.3,0,0.237,1403,0.759,11863,0.004,50000,"--------","-------",9372,9520,106.7
"23",23,"Porites",5,45,"IUI south",20220712.02,"N","7/12/2022",33189,286.2,23.3,24.3,15.86,1087.5,2042.5,955,0.468,531.7,0.02,0.75,967,0.15,6110,0.11,104869,"--------","-------",1807,13010,0,2026.9,2185.7,158.8,0.073,568.6,0,0.222,1406,0.775,11402,0.003,50000,"--------","-------",9180,9306,108.9
"24",24,"Porites",5,45,"IUI south",20220712.02,"N","7/12/2022",33200,449.6,23.3,24.3,15.85,935.7,1801.8,866.1,0.481,444,0.02,0.76,1004,0.15,9555,0.09,170663,"--------","-------",2451,16809,0,1684.3,1932.5,248.2,0.128,208.7,0,0.284,1232,0.711,13220,0.005,50000,"--------","-------",9793,9989,102.1
"25",25,"Porites",5,45,"IUI south",20220712.03,"N","7/12/2022",33207,314.8,23.3,24.3,15.85,1128.4,2064.9,936.5,0.454,594.7,0.07,0.75,978,0.12,5622,0.12,82640,"--------","-------",1632,11739,0,2128.5,2211.5,83,0.038,491.4,0.29,0.729,44,0.271,9237,0,50000,"--------","-------",2532,2555,395
"26",26,"Porites",6,45,"IUI south",20220712.03,"N","7/12/2022",33238,665.1,23.1,24.3,15.84,777.4,1523.8,746.4,0.49,378.3,0.12,0.42,250,0.46,1835,0.12,54873,"--------","-------",1082,7485,0,1579.2,1781.1,201.9,0.113,199.6,0,0.275,1414,0.72,12002,0.004,50000,"--------","-------",9072,9256,110.2
"27",27,"Porites",6,45,"IUI south",20220712.03,"N","7/12/2022",33246,465.6,23.1,24.3,15.84,1149.3,2075.1,925.8,0.446,494.3,0.07,0.69,949,0.17,3620,0.14,68014,"--------","-------",1491,10796,0,2138.8,2193.6,54.8,0.025,1883.7,0.69,0.576,184,0.423,9375,0.001,98717,"--------","-------",4080,4180,245.1
"28",28,"Porites",6,45,"IUI south",20220712.03,"N","7/12/2022",33253,325.9,23.2,24.3,15.84,1139.6,2080.9,941.4,0.452,557.2,0.11,0.75,959,0.16,9131,0.1,154598,"--------","-------",2372,17004,0,2139.9,2194.5,54.6,0.025,1212,0.44,0.229,98,0.771,11534,0,50000,"--------","-------",8919,8931,112.1
"29",29,"Porites",6,45,"IUI south",20220712.03,"N","7/12/2022",33263,206.9,23.2,24.3,15.83,1138.5,2058.6,920.1,0.447,588.1,0.17,0.75,979,0.14,6642,0.12,94365,"--------","-------",1863,12559,0,1870.4,2183.1,312.7,0.143,440.5,0.02,0.461,1363,0.533,13851,0.005,50000,"--------","-------",8059,8276,124.1
"30",30,"Porites",6,45,"IUI south",20220712.03,"N","7/12/2022",33272,524.9,23.1,24.3,15.83,908.1,1716.6,808.5,0.471,424.5,0.13,0.6,660,0.25,2473,0.15,57242,"--------","-------",1193,9871,0,2143.1,2209.9,66.8,0.03,308.4,0,0.715,39,0.283,9710,0.001,50000,"--------","-------",2782,2846,359.4
"31",31,"Porites",7,45,"IUI south",20220712.03,"N","7/12/2022",33295,367.4,23,24.3,15.83,1329.5,2160.2,830.8,0.385,498.7,0.1,0.69,1127,0.17,7880,0.14,94922,"--------","-------",2457,15780,0,2126.7,2207.8,81.2,0.037,564.3,0.42,0.766,41,0.234,7882,0,50000,"--------","-------",1877,1886,532.7
"32",32,"Porites",7,45,"IUI south",20220712.03,"N","7/12/2022",33305,287.3,23,24.3,15.82,1229.1,2067.8,838.7,0.406,440.2,0.05,0.6,869,0.23,2501,0.17,64268,"--------","-------",1317,11838,0,1940.1,2181.9,241.8,0.111,403.1,0,0.391,1439,0.605,11669,0.004,50000,"--------","-------",7651,7834,130.7
"33",33,"Porites",7,45,"IUI south",20220712.03,"N","7/12/2022",33312,201.1,23,24.3,15.82,1296.7,2125.6,829,0.39,547,0.05,0.73,958,0.14,9153,0.13,114359,"--------","-------",2275,16559,0,1855.3,2157.7,302.4,0.14,365.6,0,0.426,1447,0.569,13862,0.005,50000,"--------","-------",8551,8747,116.9
"34",34,"Porites",7,45,"IUI south",20220712.03,"N","7/12/2022",33320,140.8,23.1,24.3,15.82,1233.6,2049.1,815.6,0.398,476.8,0,0.72,954,0.17,7511,0.11,142214,"--------","-------",2229,17030,0,2037.3,2196.5,159.2,0.072,617.6,0.4,0.396,113,0.546,7805,0.058,50000,"--------","-------",4573,7190,218.7
"35",35,"Porites",7,45,"IUI south",20220712.04,"N","7/12/2022",33340,546.9,23,24.3,15.81,1447,2184.8,737.8,0.338,656.4,0.27,0.43,1234,0.34,1863,0.23,52051,"--------","-------",1511,12946,0,2045.1,2198.2,153.1,0.07,4229.1,0.66,0.6,315,0.395,12269,0.005,181236,"--------","-------",5064,5940,197.5
"36",36,"Stylophora",1,45,"IUI south",20220712.04,"N","7/12/2022",33375,458.5,22.9,24.3,15.81,704.3,1348.1,643.8,0.478,504.7,0.14,0.59,797,0.26,3235,0.15,50000,"--------","-------",1550,8790,0,1431.1,1617.5,186.5,0.115,231.9,0,0.222,1253,0.773,13644,0.005,50000,"--------","-------",10876,11059,91.9
"37",37,"Stylophora",1,45,"IUI south",20220712.04,"N","7/12/2022",33388,900,22.9,24.3,15.81,158.2,277.3,119.1,0.43,237.8,0.46,0.38,130,0.44,2448,0.18,50000,"--------","-------",1369,9928,400,627.4,678.1,50.7,0.075,165.2,0,0.209,1132,0.785,15690,0.006,50000,"--------","-------",12629,12868,79.2
"38",38,"Stylophora",1,45,"IUI south",20220712.04,"N","7/12/2022",33398,630,22.8,24.3,15.8,447.2,895.1,447.9,0.5,455.7,0.17,0.42,214,0.44,2037,0.13,50000,"--------","-------",1147,7741,0,1073.6,1195.6,122,0.102,219.7,0,0.202,1165,0.793,12529,0.004,50000,"--------","-------",10222,10400,97.8
"39",39,"Stylophora",1,45,"IUI south",20220712.04,"N","7/12/2022",33407,865.5,22.8,24.3,15.8,684.9,1322.8,637.9,0.482,483.9,0.03,0.55,570,0.36,2555,0.09,91646,"--------","-------",1352,9459,0,1327.1,1448.8,121.7,0.084,226.9,0,0.139,1420,0.858,11656,0.003,50000,"--------","-------",10230,10341,97.7
"40",40,"Stylophora",1,45,"IUI south",20220712.04,"N","7/12/2022",33426,605.9,22.9,24.3,15.79,845.6,1706,860.4,0.504,436.2,0.06,0.47,617,0.37,2518,0.16,56337,"--------","-------",1450,10060,0,1976.4,2121.2,144.8,0.068,266,0.01,0.077,952,0.922,11699,0.001,50000,"--------","-------",10873,10930,92
"41",41,"Stylophora",2,45,"IUI south",20220712.04,"N","7/12/2022",33454,494.7,22.9,24.3,15.79,780.1,1567.3,787.2,0.502,415.4,0.06,0.41,227,0.45,1677,0.14,50000,"--------","-------",991,8056,0,1780,1996.5,216.6,0.108,243.3,0,0.182,1161,0.814,14050,0.004,50000,"--------","-------",11693,11846,85.5
"42",42,"Stylophora",2,45,"IUI south",20220712.04,"N","7/12/2022",33463,520.1,22.8,24.3,15.79,517,1065.9,548.9,0.515,355.9,0.12,0.59,523,0.29,4142,0.12,59216,"--------","-------",1703,8653,0,886.8,1041,154.2,0.148,183.6,0,0.281,1141,0.713,14232,0.006,50000,"--------","-------",10527,10751,95
"43",43,"Stylophora",2,45,"IUI south",20220712.04,"N","7/12/2022",33473,322.4,22.8,24.3,15.78,874.5,1782.8,908.3,0.509,527.5,0,0.72,862,0.15,7444,0.12,65388,"--------","-------",2009,9829,0,1852.6,2099.2,246.7,0.117,315.5,0.01,0.222,1266,0.775,13394,0.004,50000,"--------","-------",10695,10840,93.5
"44",44,"Stylophora",2,45,"IUI south",20220712.04,"N","7/12/2022",33487,386.7,22.8,24.3,15.78,581,1244.5,663.5,0.533,459.6,0.09,0.74,883,0.16,10552,0.1,95039,"--------","-------",2644,11527,0,1589.7,1790,200.3,0.112,220,0,0.158,1093,0.836,16387,0.006,50000,"--------","-------",13955,14163,71.7
"45",45,"Stylophora",2,45,"IUI south",20220712.05,"N","7/12/2022",33497,302.8,22.8,24.3,15.78,765.9,1571.2,805.3,0.513,479.6,0.08,0.65,675,0.2,3173,0.15,57412,"--------","-------",1250,9686,0,1916.6,2140.5,223.9,0.105,288.3,0,0.162,1027,0.834,15273,0.004,50000,"--------","-------",12959,13104,77.2
"46",46,"Stylophora",3,45,"IUI south",20220712.05,"N","7/12/2022",33554,781.4,22.6,24.3,15.77,336.6,702.9,366.4,0.521,322,0.33,0.48,130,0.43,1796,0.1,50000,"--------","-------",916,5586,0,779.6,887.2,107.6,0.121,193.7,0,0.34,1132,0.655,11993,0.005,50000,"--------","-------",8280,8476,120.8
"47",47,"Stylophora",3,45,"IUI south",20220712.05,"N","7/12/2022",33569,652.4,22.6,24.3,15.77,460.4,971,510.6,0.526,327.7,0.16,0.45,222,0.4,2147,0.15,50000,"--------","-------",1121,8344,0,786.3,913.3,127.1,0.139,177.3,0,0.316,1243,0.678,12793,0.005,50000,"--------","-------",9118,9331,109.7
"48",48,"Stylophora",3,45,"IUI south",20220712.05,"N","7/12/2022",33580,835.4,22.6,24.3,15.76,332.9,678.3,345.4,0.509,279.5,0.35,0.47,130,0.41,2180,0.13,50000,"--------","-------",1082,7265,0,847.6,965.9,118.3,0.122,171.9,0.01,0.278,999,0.718,11913,0.004,50000,"--------","-------",8865,9043,112.8
"49",49,"Stylophora",3,45,"IUI south",20220712.05,"N","7/12/2022",33596,857.5,22.6,24.3,15.76,270.6,556.4,285.8,0.514,291,0.38,0.5,150,0.39,2165,0.11,50000,"--------","-------",1027,6477,0,677.3,768.2,90.9,0.118,174.4,0.02,0.284,894,0.711,11756,0.005,50000,"--------","-------",8656,8846,115.5
"50",50,"Stylophora",3,45,"IUI south",20220712.05,"N","7/12/2022",33612,590.9,22.6,24.3,15.75,465.1,1013.9,548.8,0.541,335.1,0.21,0.53,148,0.37,1875,0.11,50000,"--------","-------",856,6096,0,1121.1,1266.2,145.1,0.115,200.6,0,0.222,939,0.773,13451,0.005,50000,"--------","-------",10659,10854,93.8
"51",51,"Stylophora",4,45,"IUI south",20220712.05,"N","7/12/2022",33652,580.8,22.9,24.3,15.75,665,1248.1,583.1,0.467,402.3,0.07,0.39,252,0.45,1835,0.15,50000,"--------","-------",1100,8534,0,1236.4,1408.4,172,0.122,207.6,0,0.27,1077,0.725,13897,0.006,50000,"--------","-------",10419,10644,96
"52",52,"Stylophora",4,45,"IUI south",20220712.05,"N","7/12/2022",33662,584.2,22.9,24.3,15.75,606.7,1138.7,532,0.467,373.7,0.13,0.69,1034,0.15,7624,0.15,50000,"--------","-------",2228,9532,0,1269.7,1446.1,176.4,0.122,217.2,0,0.219,816,0.776,12693,0.005,50000,"--------","-------",10074,10266,99.3
"53",53,"Stylophora",4,45,"IUI south",20220712.05,"N","7/12/2022",33675,439.2,22.9,24.3,15.74,471.4,945.8,474.3,0.502,365.2,0.12,0.44,161,0.41,1843,0.14,50000,"--------","-------",973,7887,0,837.2,982.3,145.1,0.148,177.5,0,0.318,1232,0.673,16680,0.009,50000,"--------","-------",11720,12047,85.3
"54",54,"Stylophora",4,45,"IUI south",20220712.05,"N","7/12/2022",33686,623.6,22.9,24.3,15.74,494.6,980.7,486,0.496,375,0,0.39,551,0.41,2190,0.2,50000,"--------","-------",1395,10997,0,733.8,837.3,103.4,0.124,226.8,0.21,0.15,993,0.81,12890,0.04,50000,"--------","-------",11033,12603,90.6
"55",55,"Stylophora",4,45,"IUI south",20220712.06,"N","7/12/2022",33700,436.5,22.9,24.3,15.74,942.7,1849.8,907.1,0.49,502.5,0.06,0.54,649,0.32,3832,0.14,65141,"--------","-------",1829,10659,0,2121.5,2194.5,73.1,0.033,467.9,0,0.639,49,0.355,12915,0.007,54960,"--------","-------",4641,4976,215.5
"56",56,"Leptoseris",1,45,"IUI south",20220712.06,"N","7/12/2022",33755,300.2,22.7,24.4,15.73,1270.4,1987.5,717.1,0.361,434.1,0,0.51,754,0.31,2431,0.18,57133,"--------","-------",1393,11524,0,2006.9,2157.1,150.1,0.07,312,0,0.277,1553,0.718,14956,0.005,50000,"--------","-------",11224,11436,89.1
"57",57,"Leptoseris",1,45,"IUI south",20220712.06,"N","7/12/2022",33764,475.3,22.7,24.4,15.72,1197.3,1833.8,636.6,0.347,338.3,0,0.63,951,0.23,6927,0.13,138888,"--------","-------",2560,20670,0,1898.9,2052,153.1,0.075,222.8,0,0.219,1426,0.777,12823,0.004,50000,"--------","-------",10314,10474,97
"58",58,"Leptoseris",1,45,"IUI south",20220712.06,"N","7/12/2022",33774,356.2,22.7,24.4,15.72,1111.5,1784,672.5,0.377,364.4,0,0.58,794,0.26,3299,0.16,88043,"--------","-------",1569,15379,0,1912.3,2105.6,193.3,0.092,238.3,0,0.307,1489,0.687,15235,0.006,50000,"--------","-------",10993,11224,91
"59",59,"Leptoseris",1,45,"IUI south",20220712.06,"N","7/12/2022",33784,504.5,22.7,24.5,15.72,1221.1,1806.8,585.7,0.324,342.3,0.07,0.67,990,0.16,5662,0.17,80868,"--------","-------",1867,15382,0,1784.1,1941.8,157.7,0.081,221.3,0,0.293,1110,0.702,13302,0.005,50000,"--------","-------",9708,9905,103
"60",60,"Leptoseris",1,45,"IUI south",20220712.06,"N","7/12/2022",33794,600.4,22.7,24.5,15.71,1070,1542,471.9,0.306,355.6,0,0.49,773,0.29,2378,0.22,70590,"--------","-------",1370,16663,0,1539.3,1672.2,132.9,0.079,204.4,0.01,0.023,4862,0.976,4874,0.001,50000,"--------","-------",4874,4937,205.2
"61",61,"Leptoseris",2,45,"IUI south",20220712.06,"N","7/12/2022",33823,421.1,22.4,24.5,15.71,1151.9,1745.1,593.2,0.34,474.4,0.06,0.63,951,0.21,6705,0.16,79809,"--------","-------",2367,14773,0,1800.6,1967.6,167,0.085,264.1,0.01,0.204,1154,0.792,14135,0.004,50000,"--------","-------",11473,11611,87.2
"62",62,"Leptoseris",2,45,"IUI south",20220712.06,"N","7/12/2022",33832,557.4,22.5,24.5,15.71,922.2,1380.8,458.6,0.332,485.7,0.09,0.49,740,0.33,1805,0.18,54517,"--------","-------",1167,10713,0,1433.8,1561.7,127.9,0.082,234.3,0,0.303,913,0.691,15370,0.006,50000,"--------","-------",10968,11198,91.2
"63",63,"Leptoseris",2,45,"IUI south",20220712.06,"N","7/12/2022",33842,603.8,22.5,24.5,15.7,756,1130.5,374.4,0.331,358.1,0.19,0.48,128,0.4,1979,0.11,69993,"--------","-------",969,8730,0,1028.8,1143.2,114.4,0.1,193.6,0,0.333,939,0.66,15331,0.006,50000,"--------","-------",10503,10759,95.2
"64",64,"Leptoseris",2,45,"IUI south",20220712.06,"N","7/12/2022",33851,533.8,22.5,24.5,15.7,887.8,1511.7,623.9,0.413,489.4,0.12,0.51,649,0.31,2152,0.18,57409,"--------","-------",1213,11513,0,1694.3,1858.3,164,0.088,245.4,0,0.189,1425,0.808,13805,0.004,50000,"--------","-------",11462,11607,87.2
"65",65,"Leptoseris",2,45,"IUI south",20220712.07,"N","7/12/2022",33862,517.9,22.5,24.5,15.7,869.6,1438.4,568.9,0.395,468.8,0.13,0.42,456,0.43,1920,0.15,69734,"--------","-------",1200,11776,0,1620.1,1779.9,159.7,0.09,237.2,0,0.234,1089,0.761,16187,0.006,50000,"--------","-------",12636,12842,79.1
"66",66,"Leptoseris",3,45,"IUI south",20220712.07,"N","7/12/2022",33900,507.5,22.7,24.4,15.69,1125.2,1732.2,606.9,0.35,450,0.05,0.52,899,0.25,3307,0.23,57761,"--------","-------",1674,14492,0,1524.4,1672.7,148.3,0.089,242.3,0,0.211,1208,0.784,14661,0.004,50000,"--------","-------",11805,11969,84.7
"67",67,"Leptoseris",3,45,"IUI south",20220712.07,"N","7/12/2022",33909,447.1,22.7,24.5,15.69,1097.7,1722.6,624.9,0.363,441.1,0.05,0.53,783,0.28,3093,0.2,54910,"--------","-------",1578,12050,0,1771.9,1932.9,161,0.083,282.7,0.01,0.269,1527,0.727,13316,0.004,50000,"--------","-------",10128,10281,98.7
"68",68,"Leptoseris",3,45,"IUI south",20220712.07,"N","7/12/2022",33919,332.9,22.7,24.5,15.69,1299,1992.2,693.1,0.348,482.2,0,0.64,998,0.27,6742,0.1,206679,"--------","-------",2691,22604,0,1924.3,2098,173.7,0.083,270,0.01,0.294,1452,0.7,16723,0.006,50000,"--------","-------",12209,12446,81.9
"69",69,"Leptoseris",3,45,"IUI south",20220712.07,"N","7/12/2022",33934,454.5,22.7,24.5,15.69,1012.2,1744.2,732,0.42,523.6,0.1,0.67,829,0.18,5333,0.15,69771,"--------","-------",1800,11816,0,1718.1,1882.8,164.8,0.088,273.1,0.01,0.227,1359,0.769,14544,0.004,50000,"--------","-------",11535,11693,86.7
"70",70,"Leptoseris",3,45,"IUI south",20220712.07,"N","7/12/2022",33943,318.2,22.7,24.5,15.69,1127.6,2026.8,899.3,0.444,603.4,0.09,0.58,832,0.24,3308,0.18,50000,"--------","-------",1548,10135,0,2107.9,2191.5,83.5,0.038,352.4,0,0.624,54,0.372,12711,0.005,50000,"--------","-------",4778,4987,209.3
"71",71,"Leptoseris",4,45,"IUI south",20220712.07,"N","7/12/2022",34016,450,22.9,24.4,15.67,1462.9,2086.6,623.7,0.299,483.2,0,0.43,769,0.38,2737,0.19,67010,"--------","-------",1691,14352,0,1783.9,1973.1,189.2,0.096,231.8,0,0.398,1447,0.597,15053,0.005,50000,"--------","-------",9609,9822,104.1
"72",72,"Leptoseris",4,45,"IUI south",20220712.07,"N","7/12/2022",34025,363.8,22.9,24.4,15.67,1336.4,1943.5,607.1,0.312,407.6,0,0.63,866,0.19,4187,0.19,71882,"--------","-------",1635,14649,0,1819.2,2033.7,214.6,0.106,244.8,0,0.444,1068,0.551,14018,0.005,50000,"--------","-------",8234,8435,121.4
"73",73,"Leptoseris",4,45,"IUI south",20220712.07,"N","7/12/2022",34033,254.6,22.9,24.4,15.67,1526,2174.5,648.5,0.298,691,0.13,0.31,1698,0.46,1744,0.22,62127,"--------","-------",1725,15132,0,2123.7,2194.4,70.8,0.032,2943.2,0.7,0.505,333,0.492,12417,0.003,83207,"--------","-------",6297,6540,158.8
"74",74,"Leptoseris",4,45,"IUI south",20220712.07,"N","7/12/2022",34040,178.2,22.9,24.4,15.67,1557.3,2181.8,624.5,0.286,859.9,0.31,0.31,1645,0.49,1885,0.21,66764,"--------","-------",1792,15315,0,2072.9,2195.6,122.7,0.056,4600,0.65,0.635,461,0.362,13305,0.004,55566,"--------","-------",5124,5312,195.1
"75",75,"Leptoseris",4,45,"IUI south",20220712.08,"N","7/12/2022",34055,341.4,22.9,24.4,15.67,1334.2,1982.3,648.1,0.327,453.2,0,0.75,1205,0.17,9642,0.08,567393,"--------","-------",2744,49168,0,1772.8,2005.1,232.3,0.116,244.7,0,0.477,1940,0.517,15556,0.006,50000,"--------","-------",9019,9251,110.9
"76",76,"Leptoseris",5,45,"IUI south",20220712.08,"N","7/12/2022",34071,584.6,22.9,24.4,15.66,1129.7,1803.7,674,0.374,432.9,0.03,0.56,903,0.28,4619,0.16,75496,"--------","-------",2122,13862,0,1963.5,2087.2,123.7,0.059,282.8,0.01,0.2,1472,0.797,11092,0.002,50000,"--------","-------",9161,9263,109.2
"77",77,"Leptoseris",5,45,"IUI south",20220712.08,"N","7/12/2022",34078,409.2,22.9,24.4,15.66,1293.1,2058.2,765.1,0.372,541.6,0,0.7,1175,0.14,7316,0.17,70389,"--------","-------",2176,13566,0,1971.8,2121.1,149.3,0.07,311.3,0,0.192,1473,0.805,11323,0.003,50000,"--------","-------",9426,9536,106.1
