"","Coral","PIC","Prevalence","SITE","DEPTH","Site_Depth"
"79","Plerogyra","MKN8948",0,"IUI-S","45","IUI-S_45"
"80","Pocillopora","MKN8948",0,"IUI-S","45","IUI-S_45"
"81","Podbacia","MKN8948",0,"IUI-S","45","IUI-S_45"
"82","Porites","MKN8948",0,"IUI-S","45","IUI-S_45"
"83","Psammocora","MKN8948",1,"IUI-S","45","IUI-S_45"
"84","Sclerophyllia","MKN8948",0,"IUI-S","45","IUI-S_45"
"85","Seriatopora","MKN8948",0,"IUI-S","45","IUI-S_45"
"86","Siderastrea","MKN8948",0,"IUI-S","45","IUI-S_45"
"87","Stylophora","MKN8948",0,"IUI-S","45","IUI-S_45"
"88","Turbinaria","MKN8948",0,"IUI-S","45","IUI-S_45"
"89","Acanthastrea","MKN8950",0,"IUI-S","45","IUI-S_45"
"90","Acropora","MKN8950",1,"IUI-S","45","IUI-S_45"
"91","Alveopora","MKN8950",18,"IUI-S","45","IUI-S_45"
"92","Astrea","MKN8950",0,"IUI-S","45","IUI-S_45"
"93","Astreopora","MKN8950",0,"IUI-S","45","IUI-S_45"
"94","Blastomussa","MKN8950",0,"IUI-S","45","IUI-S_45"
"95","Coscinaraea","MKN8950",0,"IUI-S","45","IUI-S_45"
"96","Cynarina","MKN8950",0,"IUI-S","45","IUI-S_45"
"97","Cyphastrea","MKN8950",0,"IUI-S","45","IUI-S_45"
"98","Dipsastraea","MKN8950",0,"IUI-S","45","IUI-S_45"
"99","Echinophyllia","MKN8950",0,"IUI-S","45","IUI-S_45"
"100","Echinopora","MKN8950",1,"IUI-S","45","IUI-S_45"
"101","Erythrastrea","MKN8950",0,"IUI-S","45","IUI-S_45"
"102","Euphyllia","MKN8950",0,"IUI-S","45","IUI-S_45"
"103","Favites","MKN8950",0,"IUI-S","45","IUI-S_45"
"104","Fungia","MKN8950",0,"IUI-S","45","IUI-S_45"
"105","Galaxea","MKN8950",0,"IUI-S","45","IUI-S_45"
"106","Goniastrea","MKN8950",0,"IUI-S","45","IUI-S_45"
"107","Goniopora","MKN8950",0,"IUI-S","45","IUI-S_45"
"108","Gyrosmilia","MKN8950",0,"IUI-S","45","IUI-S_45"
"109","HC","MKN8950",2,"IUI-S","45","IUI-S_45"
"110","Hydnophora","MKN8950",0,"IUI-S","45","IUI-S_45"
"111","Leptastrea","MKN8950",0,"IUI-S","45","IUI-S_45"
"112","Leptoseris","MKN8950",1,"IUI-S","45","IUI-S_45"
"113","Lobophyllia","MKN8950",0,"IUI-S","45","IUI-S_45"
"114","Madracis","MKN8950",0,"IUI-S","45","IUI-S_45"
