"","Coral","PIC","Prevalence","SITE","DEPTH","Site_Depth"
"3162","Porites","MKN9143",3,"IUI-N","35","IUI-N_35"
"3163","Psammocora","MKN9143",0,"IUI-N","35","IUI-N_35"
"3164","Sclerophyllia","MKN9143",0,"IUI-N","35","IUI-N_35"
"3165","Seriatopora","MKN9143",0,"IUI-N","35","IUI-N_35"
"3166","Siderastrea","MKN9143",0,"IUI-N","35","IUI-N_35"
"3167","Stylophora","MKN9143",0,"IUI-N","35","IUI-N_35"
"3168","Turbinaria","MKN9143",0,"IUI-N","35","IUI-N_35"
"3169","Acanthastrea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3170","Acropora","MKN9144",2,"IUI-N","35","IUI-N_35"
"3171","Alveopora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3172","Astrea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3173","Astreopora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3174","Blastomussa","MKN9144",0,"IUI-N","35","IUI-N_35"
"3175","Coscinaraea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3176","Cynarina","MKN9144",0,"IUI-N","35","IUI-N_35"
"3177","Cyphastrea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3178","Dipsastraea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3179","Echinophyllia","MKN9144",0,"IUI-N","35","IUI-N_35"
"3180","Echinopora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3181","Erythrastrea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3182","Euphyllia","MKN9144",0,"IUI-N","35","IUI-N_35"
"3183","Favites","MKN9144",0,"IUI-N","35","IUI-N_35"
"3184","Fungia","MKN9144",0,"IUI-N","35","IUI-N_35"
"3185","Galaxea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3186","Goniastrea","MKN9144",1,"IUI-N","35","IUI-N_35"
"3187","Goniopora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3188","Gyrosmilia","MKN9144",0,"IUI-N","35","IUI-N_35"
"3189","HC","MKN9144",6,"IUI-N","35","IUI-N_35"
"3190","Hydnophora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3191","Leptastrea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3192","Leptoseris","MKN9144",0,"IUI-N","35","IUI-N_35"
"3193","Lobophyllia","MKN9144",0,"IUI-N","35","IUI-N_35"
"3194","Madracis","MKN9144",0,"IUI-N","35","IUI-N_35"
"3195","Merulina","MKN9144",0,"IUI-N","35","IUI-N_35"
"3196","Montipora","MKN9144",8,"IUI-N","35","IUI-N_35"
"3197","Mycedium","MKN9144",2,"IUI-N","35","IUI-N_35"
"3198","Oxypora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3199","Pachyseris","MKN9144",0,"IUI-N","35","IUI-N_35"
"3200","Paramontastraea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3201","Pavona","MKN9144",0,"IUI-N","35","IUI-N_35"
"3202","Platygyra","MKN9144",0,"IUI-N","35","IUI-N_35"
"3203","Plerogyra","MKN9144",0,"IUI-N","35","IUI-N_35"
"3204","Pocillopora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3205","Podbacia","MKN9144",0,"IUI-N","35","IUI-N_35"
"3206","Porites","MKN9144",6,"IUI-N","35","IUI-N_35"
"3207","Psammocora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3208","Sclerophyllia","MKN9144",0,"IUI-N","35","IUI-N_35"
"3209","Seriatopora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3210","Siderastrea","MKN9144",0,"IUI-N","35","IUI-N_35"
"3211","Stylophora","MKN9144",0,"IUI-N","35","IUI-N_35"
"3212","Turbinaria","MKN9144",0,"IUI-N","35","IUI-N_35"
"3213","Acanthastrea","MKN9145",0,"IUI-N","35","IUI-N_35"
"3214","Acropora","MKN9145",5,"IUI-N","35","IUI-N_35"
"3215","Alveopora","MKN9145",0,"IUI-N","35","IUI-N_35"
"3216","Astrea","MKN9145",0,"IUI-N","35","IUI-N_35"
"3217","Astreopora","MKN9145",0,"IUI-N","35","IUI-N_35"
"3218","Blastomussa","MKN9145",0,"IUI-N","35","IUI-N_35"
"3219","Coscinaraea","MKN9145",0,"IUI-N","35","IUI-N_35"
"3220","Cynarina","MKN9145",0,"IUI-N","35","IUI-N_35"
"3221","Cyphastrea","MKN9145",0,"IUI-N","35","IUI-N_35"
"3222","Dipsastraea","MKN9145",0,"IUI-N","35","IUI-N_35"
"3223","Echinophyllia","MKN9145",0,"IUI-N","35","IUI-N_35"
"3224","Echinopora","MKN9145",0,"IUI-N","35","IUI-N_35"
"3225","Erythrastrea","MKN9145",0,"IUI-N","35","IUI-N_35"
"3226","Euphyllia","MKN9145",0,"IUI-N","35","IUI-N_35"
"3227","Favites","MKN9145",0,"IUI-N","35","IUI-N_35"
"3228","Fungia","MKN9145",0,"IUI-N","35","IUI-N_35"
"3229","Galaxea","MKN9145",2,"IUI-N","35","IUI-N_35"
"3230","Goniastrea","MKN9145",2,"IUI-N","35","IUI-N_35"
"3231","Goniopora","MKN9145",0,"IUI-N","35","IUI-N_35"
"3232","Gyrosmilia","MKN9145",0,"IUI-N","35","IUI-N_35"
"3233","HC","MKN9145",5,"IUI-N","35","IUI-N_35"
"3234","Hydnophora","MKN9145",0,"IUI-N","35","IUI-N_35"
"3235","Leptastrea","MKN9145",0,"IUI-N","35","IUI-N_35"
"3236","Leptoseris","MKN9145",0,"IUI-N","35","IUI-N_35"
"3237","Lobophyllia","MKN9145",0,"IUI-N","35","IUI-N_35"
"3238","Madracis","MKN9145",0,"IUI-N","35","IUI-N_35"
"3239","Merulina","MKN9145",0,"IUI-N","35","IUI-N_35"
"3240","Montipora","MKN9145",8,"IUI-N","35","IUI-N_35"
"3241","Mycedium","MKN9145",0,"IUI-N","35","IUI-N_35"
"3242","Oxypora","MKN9145",0,"IUI-N","35","IUI-N_35"
"3243","Pachyseris","MKN9145",0,"IUI-N","35","IUI-N_35"
"3244","Paramontastraea","MKN9145",0,"IUI-N","35","IUI-N_35"
"3245","Pavona","MKN9145",0,"IUI-N","35","IUI-N_35"
"3246","Platygyra","MKN9145",1,"IUI-N","35","IUI-N_35"
"3247","Plerogyra","MKN9145",0,"IUI-N","35","IUI-N_35"
"3248","Pocillopora","MKN9145",0,"IUI-N","35","IUI-N_35"
"3249","Podbacia","MKN9145",0,"IUI-N","35","IUI-N_35"
"3250","Porites","MKN9145",3,"IUI-N","35","IUI-N_35"
"3251","Psammocora","MKN9145",0,"IUI-N","35","IUI-N_35"
"3252","Sclerophyllia","MKN9145",0,"IUI-N","35","IUI-N_35"
"3253","Seriatopora","MKN9145",0,"IUI-N","35","IUI-N_35"
"3254","Siderastrea","MKN9145",0,"IUI-N","35","IUI-N_35"
"3255","Stylophora","MKN9145",1,"IUI-N","35","IUI-N_35"
"3256","Turbinaria","MKN9145",0,"IUI-N","35","IUI-N_35"
"3257","Acanthastrea","MKN9147",0,"IUI-N","35","IUI-N_35"
"3258","Acropora","MKN9147",3,"IUI-N","35","IUI-N_35"
"3259","Alveopora","MKN9147",0,"IUI-N","35","IUI-N_35"
"3260","Astrea","MKN9147",0,"IUI-N","35","IUI-N_35"
"3261","Astreopora","MKN9147",0,"IUI-N","35","IUI-N_35"
"3262","Blastomussa","MKN9147",0,"IUI-N","35","IUI-N_35"
"3263","Coscinaraea","MKN9147",0,"IUI-N","35","IUI-N_35"
"3264","Cynarina","MKN9147",0,"IUI-N","35","IUI-N_35"
"3265","Cyphastrea","MKN9147",0,"IUI-N","35","IUI-N_35"
"3266","Dipsastraea","MKN9147",0,"IUI-N","35","IUI-N_35"
"3267","Echinophyllia","MKN9147",0,"IUI-N","35","IUI-N_35"
"3268","Echinopora","MKN9147",0,"IUI-N","35","IUI-N_35"
"3269","Erythrastrea","MKN9147",0,"IUI-N","35","IUI-N_35"
"3270","Euphyllia","MKN9147",0,"IUI-N","35","IUI-N_35"
"3271","Favites","MKN9147",0,"IUI-N","35","IUI-N_35"
"3272","Fungia","MKN9147",0,"IUI-N","35","IUI-N_35"
"3273","Galaxea","MKN9147",0,"IUI-N","35","IUI-N_35"
"3274","Goniastrea","MKN9147",3,"IUI-N","35","IUI-N_35"
"3275","Goniopora","MKN9147",0,"IUI-N","35","IUI-N_35"
"3276","Gyrosmilia","MKN9147",0,"IUI-N","35","IUI-N_35"
"3277","HC","MKN9147",3,"IUI-N","35","IUI-N_35"
"3278","Hydnophora","MKN9147",0,"IUI-N","35","IUI-N_35"
"3279","Leptastrea","MKN9147",0,"IUI-N","35","IUI-N_35"
"3280","Leptoseris","MKN9147",4,"IUI-N","35","IUI-N_35"
"3281","Lobophyllia","MKN9147",0,"IUI-N","35","IUI-N_35"
"3282","Madracis","MKN9147",0,"IUI-N","35","IUI-N_35"
"3283","Merulina","MKN9147",0,"IUI-N","35","IUI-N_35"
"3284","Montipora","MKN9147",11,"IUI-N","35","IUI-N_35"
"3285","Mycedium","MKN9147",0,"IUI-N","35","IUI-N_35"
"3286","Oxypora","MKN9147",0,"IUI-N","35","IUI-N_35"
"3287","Pachyseris","MKN9147",1,"IUI-N","35","IUI-N_35"
"3288","Paramontastraea","MKN9147",1,"IUI-N","35","IUI-N_35"
"3289","Pavona","MKN9147",0,"IUI-N","35","IUI-N_35"
"3290","Platygyra","MKN9147",1,"IUI-N","35","IUI-N_35"
"3291","Plerogyra","MKN9147",0,"IUI-N","35","IUI-N_35"
"3292","Pocillopora","MKN9147",0,"IUI-N","35","IUI-N_35"
"3293","Podbacia","MKN9147",0,"IUI-N","35","IUI-N_35"
"3294","Porites","MKN9147",0,"IUI-N","35","IUI-N_35"
"3295","Psammocora","MKN9147",0,"IUI-N","35","IUI-N_35"
"3296","Sclerophyllia","MKN9147",0,"IUI-N","35","IUI-N_35"
"3297","Seriatopora","MKN9147",0,"IUI-N","35","IUI-N_35"
"3298","Siderastrea","MKN9147",0,"IUI-N","35","IUI-N_35"
"3299","Stylophora","MKN9147",1,"IUI-N","35","IUI-N_35"
"3300","Turbinaria","MKN9147",0,"IUI-N","35","IUI-N_35"
"3301","Acanthastrea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3302","Acropora","MKN9148",1,"IUI-N","35","IUI-N_35"
"3303","Alveopora","MKN9148",0,"IUI-N","35","IUI-N_35"
"3304","Astrea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3305","Astreopora","MKN9148",0,"IUI-N","35","IUI-N_35"
"3306","Blastomussa","MKN9148",0,"IUI-N","35","IUI-N_35"
"3307","Coscinaraea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3308","Cynarina","MKN9148",0,"IUI-N","35","IUI-N_35"
"3309","Cyphastrea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3310","Dipsastraea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3311","Echinophyllia","MKN9148",0,"IUI-N","35","IUI-N_35"
"3312","Echinopora","MKN9148",0,"IUI-N","35","IUI-N_35"
"3313","Erythrastrea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3314","Euphyllia","MKN9148",0,"IUI-N","35","IUI-N_35"
"3315","Favites","MKN9148",0,"IUI-N","35","IUI-N_35"
"3316","Fungia","MKN9148",0,"IUI-N","35","IUI-N_35"
"3317","Galaxea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3318","Goniastrea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3319","Goniopora","MKN9148",0,"IUI-N","35","IUI-N_35"
"3320","Gyrosmilia","MKN9148",0,"IUI-N","35","IUI-N_35"
"3321","HC","MKN9148",5,"IUI-N","35","IUI-N_35"
"3322","Hydnophora","MKN9148",0,"IUI-N","35","IUI-N_35"
"3323","Leptastrea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3324","Leptoseris","MKN9148",0,"IUI-N","35","IUI-N_35"
"3325","Lobophyllia","MKN9148",0,"IUI-N","35","IUI-N_35"
"3326","Madracis","MKN9148",0,"IUI-N","35","IUI-N_35"
"3327","Merulina","MKN9148",0,"IUI-N","35","IUI-N_35"
"3328","Montipora","MKN9148",6,"IUI-N","35","IUI-N_35"
"3329","Mycedium","MKN9148",0,"IUI-N","35","IUI-N_35"
"3330","Oxypora","MKN9148",0,"IUI-N","35","IUI-N_35"
"3331","Pachyseris","MKN9148",0,"IUI-N","35","IUI-N_35"
"3332","Paramontastraea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3333","Pavona","MKN9148",0,"IUI-N","35","IUI-N_35"
"3334","Platygyra","MKN9148",0,"IUI-N","35","IUI-N_35"
"3335","Plerogyra","MKN9148",0,"IUI-N","35","IUI-N_35"
"3336","Pocillopora","MKN9148",0,"IUI-N","35","IUI-N_35"
"3337","Podbacia","MKN9148",0,"IUI-N","35","IUI-N_35"
"3338","Porites","MKN9148",2,"IUI-N","35","IUI-N_35"
"3339","Psammocora","MKN9148",0,"IUI-N","35","IUI-N_35"
"3340","Sclerophyllia","MKN9148",0,"IUI-N","35","IUI-N_35"
"3341","Seriatopora","MKN9148",0,"IUI-N","35","IUI-N_35"
"3342","Siderastrea","MKN9148",0,"IUI-N","35","IUI-N_35"
"3343","Stylophora","MKN9148",1,"IUI-N","35","IUI-N_35"
"3344","Turbinaria","MKN9148",0,"IUI-N","35","IUI-N_35"
"3345","Acanthastrea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3346","Acropora","MKN9149",5,"IUI-N","35","IUI-N_35"
"3347","Alveopora","MKN9149",0,"IUI-N","35","IUI-N_35"
"3348","Astrea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3349","Astreopora","MKN9149",0,"IUI-N","35","IUI-N_35"
"3350","Blastomussa","MKN9149",0,"IUI-N","35","IUI-N_35"
"3351","Coscinaraea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3352","Cynarina","MKN9149",0,"IUI-N","35","IUI-N_35"
"3353","Cyphastrea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3354","Dipsastraea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3355","Echinophyllia","MKN9149",0,"IUI-N","35","IUI-N_35"
"3356","Echinopora","MKN9149",0,"IUI-N","35","IUI-N_35"
"3357","Erythrastrea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3358","Euphyllia","MKN9149",0,"IUI-N","35","IUI-N_35"
"3359","Favites","MKN9149",0,"IUI-N","35","IUI-N_35"
"3360","Fungia","MKN9149",0,"IUI-N","35","IUI-N_35"
"3361","Galaxea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3362","Goniastrea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3363","Goniopora","MKN9149",0,"IUI-N","35","IUI-N_35"
"3364","Gyrosmilia","MKN9149",0,"IUI-N","35","IUI-N_35"
"3365","HC","MKN9149",3,"IUI-N","35","IUI-N_35"
"3366","Hydnophora","MKN9149",0,"IUI-N","35","IUI-N_35"
"3367","Leptastrea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3368","Leptoseris","MKN9149",4,"IUI-N","35","IUI-N_35"
"3369","Lobophyllia","MKN9149",0,"IUI-N","35","IUI-N_35"
"3370","Madracis","MKN9149",0,"IUI-N","35","IUI-N_35"
"3371","Merulina","MKN9149",0,"IUI-N","35","IUI-N_35"
"3372","Montipora","MKN9149",15,"IUI-N","35","IUI-N_35"
"3373","Mycedium","MKN9149",0,"IUI-N","35","IUI-N_35"
"3374","Oxypora","MKN9149",0,"IUI-N","35","IUI-N_35"
"3375","Pachyseris","MKN9149",0,"IUI-N","35","IUI-N_35"
"3376","Paramontastraea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3377","Pavona","MKN9149",0,"IUI-N","35","IUI-N_35"
"3378","Platygyra","MKN9149",0,"IUI-N","35","IUI-N_35"
"3379","Plerogyra","MKN9149",0,"IUI-N","35","IUI-N_35"
"3380","Pocillopora","MKN9149",0,"IUI-N","35","IUI-N_35"
"3381","Podbacia","MKN9149",0,"IUI-N","35","IUI-N_35"
"3382","Porites","MKN9149",5,"IUI-N","35","IUI-N_35"
"3383","Psammocora","MKN9149",0,"IUI-N","35","IUI-N_35"
"3384","Sclerophyllia","MKN9149",0,"IUI-N","35","IUI-N_35"
"3385","Seriatopora","MKN9149",0,"IUI-N","35","IUI-N_35"
"3386","Siderastrea","MKN9149",0,"IUI-N","35","IUI-N_35"
"3387","Stylophora","MKN9149",1,"IUI-N","35","IUI-N_35"
"3388","Turbinaria","MKN9149",0,"IUI-N","35","IUI-N_35"
"3389","Acanthastrea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3390","Acropora","MKN9150",1,"IUI-N","35","IUI-N_35"
"3391","Alveopora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3392","Astrea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3393","Astreopora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3394","Blastomussa","MKN9150",0,"IUI-N","35","IUI-N_35"
"3395","Coscinaraea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3396","Cynarina","MKN9150",0,"IUI-N","35","IUI-N_35"
"3397","Cyphastrea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3398","Dipsastraea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3399","Echinophyllia","MKN9150",0,"IUI-N","35","IUI-N_35"
"3400","Echinopora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3401","Erythrastrea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3402","Euphyllia","MKN9150",0,"IUI-N","35","IUI-N_35"
"3403","Favites","MKN9150",0,"IUI-N","35","IUI-N_35"
"3404","Fungia","MKN9150",0,"IUI-N","35","IUI-N_35"
"3405","Galaxea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3406","Goniastrea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3407","Goniopora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3408","Gyrosmilia","MKN9150",0,"IUI-N","35","IUI-N_35"
"3409","HC","MKN9150",2,"IUI-N","35","IUI-N_35"
"3410","Hydnophora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3411","Leptastrea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3412","Leptoseris","MKN9150",0,"IUI-N","35","IUI-N_35"
"3413","Lobophyllia","MKN9150",0,"IUI-N","35","IUI-N_35"
"3414","Madracis","MKN9150",0,"IUI-N","35","IUI-N_35"
"3415","Merulina","MKN9150",0,"IUI-N","35","IUI-N_35"
"3416","Montipora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3417","Mycedium","MKN9150",0,"IUI-N","35","IUI-N_35"
"3418","Oxypora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3419","Pachyseris","MKN9150",0,"IUI-N","35","IUI-N_35"
"3420","Paramontastraea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3421","Pavona","MKN9150",0,"IUI-N","35","IUI-N_35"
"3422","Platygyra","MKN9150",0,"IUI-N","35","IUI-N_35"
"3423","Plerogyra","MKN9150",0,"IUI-N","35","IUI-N_35"
"3424","Pocillopora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3425","Podbacia","MKN9150",0,"IUI-N","35","IUI-N_35"
"3426","Porites","MKN9150",9,"IUI-N","35","IUI-N_35"
"3427","Psammocora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3428","Sclerophyllia","MKN9150",0,"IUI-N","35","IUI-N_35"
"3429","Seriatopora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3430","Siderastrea","MKN9150",0,"IUI-N","35","IUI-N_35"
"3431","Stylophora","MKN9150",0,"IUI-N","35","IUI-N_35"
"3432","Turbinaria","MKN9150",0,"IUI-N","35","IUI-N_35"
"3433","Acanthastrea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3434","Acropora","MKN9151",1,"IUI-N","35","IUI-N_35"
"3435","Alveopora","MKN9151",0,"IUI-N","35","IUI-N_35"
"3436","Astrea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3437","Astreopora","MKN9151",0,"IUI-N","35","IUI-N_35"
"3438","Blastomussa","MKN9151",0,"IUI-N","35","IUI-N_35"
"3439","Coscinaraea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3440","Cynarina","MKN9151",0,"IUI-N","35","IUI-N_35"
"3441","Cyphastrea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3442","Dipsastraea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3443","Echinophyllia","MKN9151",0,"IUI-N","35","IUI-N_35"
"3444","Echinopora","MKN9151",3,"IUI-N","35","IUI-N_35"
"3445","Erythrastrea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3446","Euphyllia","MKN9151",0,"IUI-N","35","IUI-N_35"
"3447","Favites","MKN9151",0,"IUI-N","35","IUI-N_35"
"3448","Fungia","MKN9151",0,"IUI-N","35","IUI-N_35"
"3449","Galaxea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3450","Goniastrea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3451","Goniopora","MKN9151",0,"IUI-N","35","IUI-N_35"
"3452","Gyrosmilia","MKN9151",0,"IUI-N","35","IUI-N_35"
"3453","HC","MKN9151",4,"IUI-N","35","IUI-N_35"
"3454","Hydnophora","MKN9151",0,"IUI-N","35","IUI-N_35"
"3455","Leptastrea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3456","Leptoseris","MKN9151",1,"IUI-N","35","IUI-N_35"
"3457","Lobophyllia","MKN9151",0,"IUI-N","35","IUI-N_35"
"3458","Madracis","MKN9151",0,"IUI-N","35","IUI-N_35"
"3459","Merulina","MKN9151",0,"IUI-N","35","IUI-N_35"
"3460","Montipora","MKN9151",5,"IUI-N","35","IUI-N_35"
"3461","Mycedium","MKN9151",0,"IUI-N","35","IUI-N_35"
"3462","Oxypora","MKN9151",0,"IUI-N","35","IUI-N_35"
"3463","Pachyseris","MKN9151",0,"IUI-N","35","IUI-N_35"
"3464","Paramontastraea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3465","Pavona","MKN9151",0,"IUI-N","35","IUI-N_35"
"3466","Platygyra","MKN9151",0,"IUI-N","35","IUI-N_35"
"3467","Plerogyra","MKN9151",0,"IUI-N","35","IUI-N_35"
"3468","Pocillopora","MKN9151",0,"IUI-N","35","IUI-N_35"
"3469","Podbacia","MKN9151",0,"IUI-N","35","IUI-N_35"
"3470","Porites","MKN9151",6,"IUI-N","35","IUI-N_35"
"3471","Psammocora","MKN9151",0,"IUI-N","35","IUI-N_35"
"3472","Sclerophyllia","MKN9151",0,"IUI-N","35","IUI-N_35"
"3473","Seriatopora","MKN9151",0,"IUI-N","35","IUI-N_35"
"3474","Siderastrea","MKN9151",0,"IUI-N","35","IUI-N_35"
"3475","Stylophora","MKN9151",0,"IUI-N","35","IUI-N_35"
"3476","Turbinaria","MKN9151",0,"IUI-N","35","IUI-N_35"
"3477","Acanthastrea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3478","Acropora","MKN9152",1,"IUI-N","35","IUI-N_35"
"3479","Alveopora","MKN9152",0,"IUI-N","35","IUI-N_35"
"3480","Astrea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3481","Astreopora","MKN9152",0,"IUI-N","35","IUI-N_35"
"3482","Blastomussa","MKN9152",0,"IUI-N","35","IUI-N_35"
"3483","Coscinaraea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3484","Cynarina","MKN9152",0,"IUI-N","35","IUI-N_35"
"3485","Cyphastrea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3486","Dipsastraea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3487","Echinophyllia","MKN9152",0,"IUI-N","35","IUI-N_35"
"3488","Echinopora","MKN9152",9,"IUI-N","35","IUI-N_35"
"3489","Erythrastrea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3490","Euphyllia","MKN9152",0,"IUI-N","35","IUI-N_35"
"3491","Favites","MKN9152",2,"IUI-N","35","IUI-N_35"
"3492","Fungia","MKN9152",0,"IUI-N","35","IUI-N_35"
"3493","Galaxea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3494","Goniastrea","MKN9152",3,"IUI-N","35","IUI-N_35"
"3495","Goniopora","MKN9152",0,"IUI-N","35","IUI-N_35"
"3496","Gyrosmilia","MKN9152",0,"IUI-N","35","IUI-N_35"
"3497","HC","MKN9152",9,"IUI-N","35","IUI-N_35"
"3498","Hydnophora","MKN9152",0,"IUI-N","35","IUI-N_35"
"3499","Leptastrea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3500","Leptoseris","MKN9152",0,"IUI-N","35","IUI-N_35"
"3501","Lobophyllia","MKN9152",0,"IUI-N","35","IUI-N_35"
"3502","Madracis","MKN9152",0,"IUI-N","35","IUI-N_35"
"3503","Merulina","MKN9152",0,"IUI-N","35","IUI-N_35"
"3504","Montipora","MKN9152",6,"IUI-N","35","IUI-N_35"
"3505","Mycedium","MKN9152",1,"IUI-N","35","IUI-N_35"
"3506","Oxypora","MKN9152",0,"IUI-N","35","IUI-N_35"
"3507","Pachyseris","MKN9152",1,"IUI-N","35","IUI-N_35"
"3508","Paramontastraea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3509","Pavona","MKN9152",0,"IUI-N","35","IUI-N_35"
"3510","Platygyra","MKN9152",0,"IUI-N","35","IUI-N_35"
"3511","Plerogyra","MKN9152",0,"IUI-N","35","IUI-N_35"
"3512","Pocillopora","MKN9152",0,"IUI-N","35","IUI-N_35"
"3513","Podbacia","MKN9152",0,"IUI-N","35","IUI-N_35"
"3514","Porites","MKN9152",2,"IUI-N","35","IUI-N_35"
"3515","Psammocora","MKN9152",0,"IUI-N","35","IUI-N_35"
"3516","Sclerophyllia","MKN9152",0,"IUI-N","35","IUI-N_35"
"3517","Seriatopora","MKN9152",0,"IUI-N","35","IUI-N_35"
"3518","Siderastrea","MKN9152",0,"IUI-N","35","IUI-N_35"
"3519","Stylophora","MKN9152",0,"IUI-N","35","IUI-N_35"
"3520","Turbinaria","MKN9152",0,"IUI-N","35","IUI-N_35"
"3521","Acanthastrea","MKN9153",0,"IUI-N","35","IUI-N_35"
"3522","Acropora","MKN9153",1,"IUI-N","35","IUI-N_35"
"3523","Alveopora","MKN9153",0,"IUI-N","35","IUI-N_35"
"3524","Astrea","MKN9153",0,"IUI-N","35","IUI-N_35"
"3525","Astreopora","MKN9153",3,"IUI-N","35","IUI-N_35"
"3526","Blastomussa","MKN9153",0,"IUI-N","35","IUI-N_35"
"3527","Coscinaraea","MKN9153",0,"IUI-N","35","IUI-N_35"
"3528","Cynarina","MKN9153",0,"IUI-N","35","IUI-N_35"
"3529","Cyphastrea","MKN9153",0,"IUI-N","35","IUI-N_35"
"3530","Dipsastraea","MKN9153",0,"IUI-N","35","IUI-N_35"
"3531","Echinophyllia","MKN9153",0,"IUI-N","35","IUI-N_35"
"3532","Echinopora","MKN9153",0,"IUI-N","35","IUI-N_35"
"3533","Erythrastrea","MKN9153",0,"IUI-N","35","IUI-N_35"
"3534","Euphyllia","MKN9153",0,"IUI-N","35","IUI-N_35"
"3535","Favites","MKN9153",0,"IUI-N","35","IUI-N_35"
"3536","Fungia","MKN9153",0,"IUI-N","35","IUI-N_35"
"3537","Galaxea","MKN9153",0,"IUI-N","35","IUI-N_35"
"3538","Goniastrea","MKN9153",0,"IUI-N","35","IUI-N_35"
"3539","Goniopora","MKN9153",0,"IUI-N","35","IUI-N_35"
"3540","Gyrosmilia","MKN9153",0,"IUI-N","35","IUI-N_35"
"3541","HC","MKN9153",2,"IUI-N","35","IUI-N_35"
"3542","Hydnophora","MKN9153",0,"IUI-N","35","IUI-N_35"
"3543","Leptastrea","MKN9153",1,"IUI-N","35","IUI-N_35"
"3544","Leptoseris","MKN9153",0,"IUI-N","35","IUI-N_35"
