"","PIC","SITE","DEPTH"
"MKN9219","MKN9219","IUI-N","15"
"MKN9220","MKN9220","IUI-N","15"
"MKN9221","MKN9221","IUI-N","15"
"MKN9222","MKN9222","IUI-N","15"
"MKN9223","MKN9223","IUI-N","15"
"MKN9225","MKN9225","IUI-N","15"
"MKN9226","MKN9226","IUI-N","5"
"MKN9227","MKN9227","IUI-N","5"
"MKN9228","MKN9228","IUI-N","5"
"MKN9229","MKN9229","IUI-N","5"
"MKN9230","MKN9230","IUI-N","5"
"MKN9231","MKN9231","IUI-N","5"
"MKN9232","MKN9232","IUI-N","5"
"MKN9233","MKN9233","IUI-N","5"
"MKN9234","MKN9234","IUI-N","5"
"MKN9235","MKN9235","IUI-N","5"
"MKN9236","MKN9236","IUI-N","5"
"MKN9239","MKN9239","IUI-N","5"
"MKN9240","MKN9240","IUI-N","5"
"MKN9241","MKN9241","IUI-N","5"
"MKN9242","MKN9242","IUI-N","5"
"MKN9243","MKN9243","IUI-N","5"
"MKN9244","MKN9244","IUI-N","5"
"MKN9245","MKN9245","IUI-N","5"
"MKN9246","MKN9246","IUI-N","5"
"MKN9247","MKN9247","IUI-N","5"
"MKN9248","MKN9248","IUI-N","5"
"MKN9249","MKN9249","IUI-N","5"
"MKN9250","MKN9250","IUI-N","5"
"MKN9251","MKN9251","IUI-N","5"
"MKN9252","MKN9252","JG","45"
"MKN9253","MKN9253","JG","45"
"MKN9256","MKN9256","JG","45"
"MKN9282","MKN9282","JG","35"
"MKN9283","MKN9283","JG","35"
"MKN9284","MKN9284","JG","35"
"MKN9285","MKN9285","JG","35"
"MKN9286","MKN9286","JG","35"
"MKN9287","MKN9287","JG","35"
"MKN9290","MKN9290","JG","35"
"MKN9291","MKN9291","JG","35"
"MKN9292","MKN9292","JG","35"
"MKN9293","MKN9293","JG","35"
"MKN9294","MKN9294","JG","35"
"MKN9296","MKN9296","JG","35"
"MKN9297","MKN9297","JG","35"
"MKN9298","MKN9298","JG","35"
"MKN9299","MKN9299","JG","35"
"MKN9300","MKN9300","JG","35"
"MKN9301","MKN9301","JG","35"
"MKN9302","MKN9302","JG","35"
"MKN9303","MKN9303","JG","35"
"MKN9304","MKN9304","JG","35"
"MKN9305","MKN9305","JG","35"
"MKN9306","MKN9306","JG","35"
"MKN9308","MKN9308","JG","35"
"MKN9309","MKN9309","JG","35"
"MKN9310","MKN9310","JG","35"
"MKN9311","MKN9311","JG","35"
"MKN9312","MKN9312","JG","25"
"MKN9313","MKN9313","JG","25"
"MKN9314","MKN9314","JG","25"
"MKN9315","MKN9315","JG","25"
"MKN9316","MKN9316","JG","25"
"MKN9317","MKN9317","JG","25"
"MKN9318","MKN9318","JG","25"
"MKN9319","MKN9319","JG","25"
"MKN9320","MKN9320","JG","25"
"MKN9321","MKN9321","JG","25"
"MKN9322","MKN9322","JG","25"
"MKN9324","MKN9324","JG","25"
"MKN9325","MKN9325","JG","25"
"MKN9326","MKN9326","JG","25"
"MKN9327","MKN9327","JG","25"
"MKN9328","MKN9328","JG","25"
"MKN9329","MKN9329","JG","25"
"MKN9330","MKN9330","JG","25"
"MKN9331","MKN9331","JG","25"
"MKN9332","MKN9332","JG","25"
"MKN9333","MKN9333","JG","25"
"MKN9334","MKN9334","JG","25"
"MKN9335","MKN9335","JG","25"
"MKN9336","MKN9336","JG","25"
"MKN9337","MKN9337","JG","25"
"MKN9338","MKN9338","JG","25"
"MKN9339","MKN9339","JG","25"
"MKN9340","MKN9340","JG","25"
